tenure_months,monthly_charge,total_charges,support_tickets,late_payments,avg_monthly_usage_gb,contract_type,payment_method,internet_service,has_streaming,has_security_pack,num_products,region,customer_age,is_promo,churn
46,64.18,2932.57,3,0,195.44,bianual,debito,ninguno,1,1,4,sur,39,1,0
11,56.23,465.47,0,0,138.47,anual,debito,ninguno,0,0,1,norte,30,0,0
60,59.39,3620.13,2,1,157.78,mensual,credito,cable,1,1,2,norte,58,1,1
15,101.37,1621.11,0,1,138.73,mensual,debito,cable,1,0,1,centro,68,0,1
58,33.77,2237.67,2,0,147.06,mensual,debito,cable,1,0,2,sur,54,0,0
1,74.0,50.0,4,2,150.63,mensual,credito,fibra,0,0,4,norte,24,1,0
58,34.78,1891.56,3,0,184.98,mensual,credito,fibra,1,1,3,centro,78,0,0
57,63.05,3453.76,1,0,191.5,anual,debito,fibra,0,0,1,centro,29,1,0
57,57.19,3253.83,5,2,97.45,mensual,efectivo,fibra,1,1,3,centro,51,1,1
48,27.47,1414.89,3,2,137.78,anual,transferencia,ninguno,1,0,2,sur,64,1,0
34,72.0,2554.9,3,0,183.55,anual,credito,movil,0,1,1,centro,77,1,1
51,58.16,3154.43,1,0,113.42,anual,debito,cable,0,0,1,norte,50,0,0
20,27.21,590.45,0,2,54.56,anual,credito,movil,0,1,2,sur,73,1,1
57,80.11,4422.33,2,1,74.57,mensual,transferencia,cable,1,1,1,sur,44,0,0
41,90.83,3752.81,0,0,78.02,anual,credito,cable,0,0,3,centro,22,1,0
34,91.82,2869.98,0,2,97.09,anual,credito,movil,1,0,3,norte,27,1,0
37,71.46,2602.46,2,0,82.69,mensual,debito,fibra,1,0,4,oeste,73,1,0
41,65.83,2648.08,1,2,171.46,bianual,debito,fibra,1,0,4,norte,23,0,0
3,88.91,321.94,1,0,106.16,bianual,efectivo,cable,1,1,4,sur,74,1,0
11,95.28,1100.86,2,0,183.06,anual,debito,fibra,0,0,2,centro,44,0,0
18,85.4,1448.47,1,0,63.49,mensual,credito,cable,0,1,2,sur,76,1,0
9,48.05,347.28,2,0,102.33,anual,efectivo,movil,1,0,3,oeste,78,1,1
32,68.62,2203.57,4,2,125.21,mensual,debito,movil,1,1,2,centro,22,0,1
49,72.91,3629.76,3,0,160.53,mensual,efectivo,fibra,1,1,4,centro,55,1,0
48,32.43,1644.92,0,0,177.18,mensual,efectivo,fibra,0,0,4,oeste,19,0,0
34,73.45,2439.01,1,1,93.08,anual,transferencia,ninguno,1,1,3,norte,37,1,0
62,105.91,6560.52,1,0,169.67,anual,transferencia,movil,0,0,2,sur,75,0,0
41,76.52,3012.31,1,0,35.91,mensual,transferencia,fibra,1,1,4,sur,78,1,0
6,91.52,425.68,3,0,163.57,mensual,debito,movil,0,1,3,centro,26,0,0
56,68.29,3592.27,0,0,52.95,mensual,transferencia,movil,1,0,1,oeste,78,0,0
42,63.68,2598.64,1,0,142.33,mensual,debito,fibra,1,1,1,sur,29,0,0
46,71.86,3459.02,1,1,176.46,mensual,transferencia,fibra,1,0,1,norte,38,0,0
41,50.32,2233.15,6,1,164.36,mensual,credito,ninguno,0,1,1,centro,49,1,1
40,47.65,1974.09,4,1,38.04,mensual,transferencia,movil,0,0,2,centro,31,1,0
7,87.79,735.2,6,0,97.64,mensual,debito,cable,0,0,3,sur,21,0,1
41,89.7,3774.9,1,0,155.85,anual,debito,ninguno,1,0,3,norte,29,1,0
58,47.16,2756.09,1,1,154.41,mensual,transferencia,movil,1,1,2,norte,21,0,0
22,82.42,1520.91,1,0,133.8,anual,credito,fibra,0,1,2,norte,53,0,0
44,63.43,3062.79,3,0,9.92,mensual,credito,cable,1,1,3,sur,57,1,1
3,71.12,188.49,0,3,179.9,mensual,transferencia,movil,1,1,4,centro,37,0,1
26,73.28,1879.8,5,2,188.81,mensual,debito,fibra,1,0,3,sur,69,0,1
32,82.9,2828.09,3,1,128.19,mensual,debito,fibra,1,1,1,oeste,65,1,1
71,66.49,4739.96,0,3,131.43,mensual,debito,movil,1,0,2,sur,38,0,0
16,90.38,1748.26,2,1,145.15,anual,efectivo,movil,1,0,4,centro,39,0,1
20,70.57,1311.68,2,1,193.02,mensual,debito,fibra,1,0,4,norte,42,0,1
30,76.24,2411.57,2,2,132.53,mensual,credito,fibra,1,1,2,norte,55,0,1
72,50.0,3570.56,1,2,110.44,mensual,efectivo,movil,0,0,2,sur,69,1,0
62,103.86,6451.37,3,0,139.08,mensual,transferencia,fibra,1,0,4,centro,33,0,0
3,73.46,114.69,2,0,119.44,anual,transferencia,fibra,1,1,4,centro,38,0,0
17,77.83,1247.54,1,1,120.01,mensual,credito,movil,0,0,2,centro,47,1,1
60,36.05,2317.84,3,0,31.71,mensual,transferencia,movil,1,0,1,sur,33,1,1
5,50.19,313.1,1,0,146.14,anual,efectivo,fibra,0,0,3,centro,58,0,0
62,87.28,5462.16,2,0,178.57,mensual,efectivo,cable,1,1,3,oeste,22,1,1
21,70.16,1277.47,2,0,171.02,mensual,credito,fibra,0,1,3,norte,78,1,0
67,30.55,1854.34,3,1,167.55,anual,transferencia,fibra,1,1,4,norte,35,0,0
22,83.69,1730.46,5,2,117.35,mensual,transferencia,ninguno,1,1,2,centro,36,1,1
32,55.21,1719.2,3,0,127.28,bianual,transferencia,cable,0,1,4,centro,34,0,0
48,90.4,4326.87,1,1,179.57,anual,transferencia,cable,0,1,4,oeste,64,0,0
10,63.42,672.16,2,1,163.37,mensual,debito,fibra,0,1,1,centro,28,0,0
41,68.68,2938.56,0,0,194.32,mensual,transferencia,cable,0,0,3,norte,54,0,1
37,86.22,3366.57,1,1,86.36,mensual,credito,fibra,1,0,1,centro,58,0,0
57,48.85,2807.78,3,4,86.05,anual,debito,fibra,0,0,1,norte,64,0,0
72,47.13,3291.85,3,0,103.37,mensual,debito,cable,1,1,1,norte,50,0,0
48,61.46,3037.62,3,0,72.85,anual,debito,movil,0,0,4,norte,55,1,1
30,79.89,2418.81,1,1,53.93,mensual,credito,movil,1,1,4,oeste,45,0,0
30,41.04,1287.21,1,1,143.43,anual,debito,fibra,1,1,2,centro,24,1,1
31,34.98,1229.1,2,0,140.03,bianual,credito,cable,1,1,4,norte,18,1,0
59,79.83,4663.46,1,3,132.31,mensual,efectivo,fibra,0,0,3,sur,32,0,1
24,54.15,1474.34,1,0,137.69,mensual,debito,cable,1,0,1,oeste,61,0,0
13,57.94,582.25,2,2,46.81,mensual,debito,movil,0,1,2,centro,61,0,1
25,31.58,876.92,1,1,96.0,mensual,debito,movil,1,1,3,sur,54,0,1
2,52.78,50.0,3,1,105.33,mensual,transferencia,fibra,1,1,3,oeste,63,1,1
8,64.86,545.83,0,1,122.43,anual,debito,movil,1,0,3,centro,66,0,0
7,81.75,611.71,3,2,47.01,anual,debito,fibra,1,1,3,centro,56,0,0
56,51.12,2820.63,2,0,73.61,bianual,debito,fibra,1,1,3,centro,47,1,0
53,94.83,4949.04,1,1,98.18,anual,debito,fibra,0,1,4,centro,30,0,0
51,52.68,2584.74,2,1,172.91,anual,transferencia,fibra,1,1,3,sur,25,0,0
34,52.7,1826.23,0,0,133.09,mensual,transferencia,cable,0,0,2,norte,24,0,1
52,92.67,4894.96,2,1,171.08,mensual,debito,fibra,0,1,1,centro,24,0,1
12,68.81,1044.19,2,2,113.88,anual,credito,cable,1,1,1,centro,62,1,0
65,55.06,3548.2,2,0,120.05,anual,credito,fibra,0,0,2,centro,59,1,0
37,62.21,2117.53,2,0,144.95,anual,efectivo,cable,0,1,2,oeste,56,1,1
68,89.36,6133.17,3,1,111.14,mensual,transferencia,fibra,0,0,1,centro,49,1,0
11,91.39,796.57,3,1,88.76,mensual,transferencia,fibra,1,1,3,centro,52,1,1
36,50.3,2003.01,2,0,45.51,mensual,efectivo,cable,0,0,2,centro,33,0,1
51,64.24,3367.2,2,0,90.1,mensual,credito,fibra,1,1,2,norte,19,0,0
36,66.62,2277.3,1,2,161.81,mensual,debito,fibra,0,0,3,sur,68,1,0
33,47.25,1369.04,2,0,183.03,mensual,transferencia,movil,1,1,4,centro,55,1,0
12,64.0,664.58,1,0,81.34,mensual,debito,fibra,0,1,3,centro,75,1,1
28,65.1,1886.53,1,1,33.31,mensual,credito,movil,1,0,4,centro,65,0,1
18,85.52,1447.05,2,2,166.33,mensual,transferencia,fibra,1,0,3,norte,41,0,1
22,86.73,1997.27,4,1,123.46,bianual,credito,movil,1,1,4,centro,46,0,0
50,59.07,3066.06,1,1,52.65,bianual,credito,fibra,1,1,2,oeste,41,0,0
46,61.15,2744.31,2,2,5.0,mensual,credito,ninguno,0,1,1,centro,21,0,0
44,76.96,3492.27,1,3,71.83,anual,debito,fibra,0,0,1,norte,30,0,0
27,54.47,1615.65,3,3,96.85,mensual,debito,ninguno,1,1,1,centro,35,0,0
70,75.6,5359.89,3,2,62.42,bianual,credito,fibra,1,1,2,oeste,72,0,0
7,63.42,509.37,1,1,154.6,anual,debito,cable,1,0,2,norte,28,1,0
25,47.55,1121.27,3,1,79.37,mensual,efectivo,fibra,0,0,3,centro,20,1,1
9,47.78,673.7,1,0,120.62,mensual,credito,fibra,1,1,4,centro,55,0,0
25,91.05,2158.43,2,0,238.67,bianual,efectivo,fibra,0,0,1,norte,36,1,0
70,62.18,4299.48,2,0,125.87,bianual,efectivo,fibra,0,0,4,sur,25,1,0
27,94.53,2664.94,3,0,114.22,mensual,credito,fibra,1,1,3,sur,41,0,1
66,55.75,3634.37,1,0,115.35,anual,credito,cable,1,1,1,centro,20,1,0
36,70.24,2492.63,4,0,153.45,mensual,efectivo,cable,0,1,4,centro,45,0,0
51,108.07,5348.23,1,1,147.25,anual,debito,cable,1,1,2,norte,67,0,1
33,45.97,1460.7,0,0,69.82,mensual,credito,fibra,0,0,3,norte,52,0,0
20,30.84,906.54,2,0,99.44,mensual,debito,cable,1,1,4,centro,74,1,1
56,88.16,4893.79,1,0,86.63,mensual,transferencia,movil,0,0,1,norte,78,0,1
70,50.12,3661.88,1,0,105.87,anual,transferencia,fibra,0,1,1,centro,69,0,0
19,64.63,1168.07,4,2,211.33,mensual,credito,movil,1,0,1,centro,64,1,1
57,54.45,2975.76,1,1,150.87,anual,credito,fibra,0,0,3,sur,53,1,0
19,69.83,1233.25,0,2,116.01,bianual,credito,fibra,1,0,4,oeste,23,1,0
52,47.89,2577.31,3,0,182.23,mensual,credito,movil,1,0,3,centro,39,0,1
57,61.76,3258.42,2,1,129.42,bianual,credito,cable,0,0,3,oeste,73,1,0
33,73.1,2616.86,2,0,38.1,anual,efectivo,cable,1,1,1,norte,22,0,1
54,46.85,2587.16,1,1,203.2,anual,debito,fibra,1,1,2,oeste,65,1,0
20,52.4,1003.14,2,0,112.18,mensual,debito,cable,0,0,2,centro,41,0,1
6,58.75,257.28,2,1,7.2,mensual,debito,cable,0,1,2,oeste,74,1,1
7,39.28,212.36,1,0,40.02,bianual,transferencia,ninguno,0,1,4,centro,29,0,0
33,57.39,2031.95,3,1,176.38,anual,efectivo,movil,1,0,2,oeste,44,0,1
65,67.14,4174.77,0,1,40.83,anual,debito,fibra,1,0,1,sur,67,1,0
10,57.81,571.48,4,2,187.46,mensual,credito,fibra,1,1,2,centro,43,1,1
33,60.12,2119.44,0,0,124.05,mensual,efectivo,cable,1,0,3,norte,68,0,1
51,64.64,3053.52,0,1,155.69,mensual,debito,cable,1,1,2,centro,40,1,0
15,53.2,722.6,1,1,107.16,anual,transferencia,fibra,1,1,4,sur,46,0,0
52,77.44,3845.26,1,0,146.17,bianual,efectivo,movil,1,1,4,oeste,61,0,0
23,90.85,1934.89,3,1,135.83,mensual,transferencia,cable,1,1,2,centro,36,0,0
59,56.64,3367.74,2,0,118.07,mensual,debito,fibra,1,1,4,centro,67,0,0
42,73.73,3174.57,2,0,66.73,mensual,credito,fibra,1,1,2,oeste,60,0,0
40,60.69,2378.41,5,2,137.93,mensual,debito,cable,1,0,4,oeste,71,0,1
13,71.58,750.62,2,0,29.15,mensual,debito,movil,1,0,3,oeste,56,0,1
34,93.18,3064.23,0,0,166.58,mensual,debito,fibra,1,1,1,norte,70,0,1
62,74.16,4645.55,3,0,129.85,anual,debito,fibra,0,1,2,oeste,53,0,0
2,33.08,61.88,3,0,143.21,mensual,efectivo,fibra,1,1,3,sur,46,0,0
55,73.17,3882.72,2,1,5.0,bianual,credito,fibra,1,1,2,oeste,74,0,0
36,87.19,3080.29,1,0,63.71,bianual,debito,cable,1,1,4,centro,44,1,0
52,61.01,3266.1,0,0,94.71,mensual,credito,fibra,0,1,2,centro,35,0,0
48,82.92,4004.27,2,0,153.68,anual,credito,movil,1,0,4,sur,67,0,0
32,52.58,1557.11,2,1,72.86,mensual,debito,fibra,0,0,4,norte,38,0,0
23,38.26,910.62,1,0,247.4,mensual,debito,movil,1,1,1,centro,19,0,0
46,67.54,3039.41,3,1,106.83,mensual,credito,movil,1,1,3,norte,21,1,1
11,33.38,289.66,0,2,69.2,mensual,transferencia,fibra,0,0,3,centro,62,1,0
43,60.68,2625.08,2,0,110.66,anual,debito,movil,1,0,1,norte,31,0,0
7,88.16,485.35,1,1,72.45,anual,transferencia,cable,1,1,3,norte,41,0,0
47,30.62,1386.3,1,0,60.78,anual,credito,movil,1,0,2,sur,46,0,1
46,41.97,2056.26,2,1,170.55,anual,credito,fibra,1,0,4,norte,41,1,0
7,46.42,621.29,3,1,145.66,anual,debito,movil,1,0,4,norte,68,0,0
55,63.86,3306.7,1,0,145.81,anual,credito,cable,1,1,1,centro,69,0,1
30,58.42,1647.24,3,0,183.84,bianual,credito,fibra,1,0,4,sur,29,1,0
57,90.18,5275.89,1,0,144.33,anual,debito,ninguno,1,0,4,sur,21,1,0
3,82.18,95.87,1,1,66.63,mensual,transferencia,ninguno,1,0,2,sur,49,0,0
13,73.91,945.49,2,0,155.43,mensual,credito,fibra,1,1,4,centro,69,0,0
36,67.62,2649.97,3,0,63.67,mensual,debito,cable,0,1,3,norte,36,0,0
14,72.08,921.77,1,0,96.1,mensual,debito,ninguno,1,1,3,centro,42,0,0
24,49.48,1157.36,0,0,117.71,anual,debito,cable,0,0,1,centro,65,0,0
48,80.43,3706.12,1,1,112.64,bianual,efectivo,cable,0,1,2,norte,44,1,0
11,44.98,577.13,2,1,30.44,bianual,debito,fibra,1,1,1,oeste,56,0,0
49,80.04,3707.29,2,0,71.62,mensual,credito,fibra,1,0,2,centro,71,0,0
8,86.35,607.84,2,2,118.87,mensual,transferencia,cable,1,1,4,oeste,21,1,1
13,68.8,738.69,3,0,89.47,mensual,debito,cable,1,0,1,sur,21,1,0
43,61.83,2620.14,0,1,176.31,anual,credito,cable,1,0,3,centro,27,1,1
58,72.21,4410.85,0,0,184.87,anual,credito,cable,0,1,4,centro,49,0,0
13,15.0,241.33,3,0,63.98,anual,efectivo,fibra,1,1,1,sur,64,1,0
22,70.44,1578.32,3,0,122.99,bianual,credito,movil,1,1,1,oeste,25,0,0
67,62.96,4253.79,1,1,199.14,mensual,debito,fibra,0,0,2,centro,59,0,0
72,64.09,4611.72,0,0,113.29,mensual,debito,cable,0,1,2,centro,23,1,0
42,77.72,3418.31,2,0,99.65,anual,credito,movil,1,1,2,oeste,25,0,1
33,63.65,2193.3,2,0,163.01,mensual,credito,movil,1,0,1,norte,74,1,0
25,44.48,955.86,2,2,106.29,mensual,efectivo,fibra,1,1,4,centro,36,1,1
45,62.45,2927.23,2,1,183.54,mensual,debito,movil,1,1,1,sur,43,1,1
43,66.22,2875.69,2,1,90.26,anual,debito,fibra,1,0,1,oeste,34,0,0
22,67.07,1530.13,3,0,96.27,bianual,credito,fibra,0,0,1,centro,38,0,0
2,67.91,50.0,2,0,159.51,mensual,debito,movil,0,1,3,oeste,46,1,1
11,83.71,920.9,1,1,125.03,mensual,credito,fibra,1,1,1,norte,30,0,0
70,45.45,3164.83,3,0,125.42,bianual,debito,fibra,1,1,4,sur,19,0,0
31,68.16,2029.8,2,2,24.53,mensual,transferencia,ninguno,0,0,2,centro,60,0,1
35,88.22,3216.48,2,0,102.33,anual,debito,fibra,1,1,4,sur,50,0,0
34,33.78,952.23,4,1,163.2,bianual,credito,movil,1,1,1,norte,51,0,1
57,68.23,4252.35,1,0,80.81,mensual,credito,cable,1,1,4,centro,28,0,0
5,54.46,138.17,4,0,155.03,mensual,debito,fibra,1,1,1,norte,61,1,1
6,58.33,406.4,4,0,133.4,mensual,credito,cable,0,0,3,centro,62,0,1
20,48.71,999.92,2,2,110.01,mensual,credito,fibra,0,1,1,oeste,47,1,1
36,61.95,2370.39,4,2,187.89,mensual,transferencia,movil,1,1,2,centro,51,1,1
49,98.14,5009.4,2,0,103.01,mensual,credito,movil,1,0,3,centro,41,1,1
36,42.24,1468.42,3,0,106.49,mensual,credito,fibra,1,1,1,norte,66,0,0
32,43.95,1427.5,2,1,109.44,anual,credito,cable,1,0,4,norte,73,1,1
68,41.57,2775.5,0,0,124.03,mensual,credito,cable,1,1,4,norte,56,0,0
12,96.09,1037.06,0,0,158.35,mensual,transferencia,movil,1,0,3,centro,24,1,1
42,56.68,2384.65,4,0,46.37,mensual,debito,fibra,1,1,1,norte,73,1,0
40,64.54,2578.34,2,0,163.4,anual,credito,fibra,0,0,3,oeste,51,1,0
35,57.75,2022.59,2,0,123.4,mensual,efectivo,fibra,0,1,2,sur,76,0,1
59,48.0,2786.6,2,0,147.7,mensual,credito,cable,0,0,3,oeste,62,0,1
20,60.77,1256.23,2,0,239.59,bianual,credito,fibra,0,0,1,norte,55,1,0
69,109.25,7632.07,2,2,94.42,anual,transferencia,cable,1,0,3,centro,37,0,0
24,90.06,2016.73,0,0,58.77,anual,credito,ninguno,0,0,2,oeste,56,0,0
40,49.65,2060.03,2,0,129.69,anual,credito,fibra,1,1,3,sur,31,0,1
38,76.66,3100.46,6,0,137.61,mensual,debito,cable,1,1,2,oeste,39,0,0
62,50.03,2948.77,3,1,163.58,mensual,debito,fibra,0,1,2,norte,57,1,1
32,33.03,1075.53,2,1,93.08,mensual,debito,cable,0,1,2,norte,74,0,1
21,83.35,1804.88,2,4,78.49,anual,transferencia,fibra,0,1,4,oeste,50,1,0
2,85.88,265.76,0,0,43.35,bianual,credito,movil,1,1,2,sur,67,1,0
27,83.83,2370.99,1,1,51.63,anual,efectivo,fibra,1,0,3,norte,44,1,1
60,56.54,3536.93,2,1,99.2,mensual,debito,ninguno,1,1,3,sur,33,0,0
1,62.0,78.31,1,1,114.17,anual,debito,fibra,0,0,3,oeste,23,1,0
65,78.5,4982.82,0,0,223.26,anual,credito,movil,1,0,4,oeste,34,1,0
40,72.05,2839.04,5,1,35.37,mensual,debito,fibra,1,1,1,norte,24,0,0
11,57.91,810.21,2,0,136.77,mensual,credito,fibra,1,1,3,sur,63,0,0
22,35.86,683.36,4,1,83.7,mensual,debito,movil,1,0,4,centro,24,0,1
